0,1,0,1,0,0,0,0,0,1,1,1,1,2,1,2,0,0,0,0,1,0,0,0,0,1,3
1,1,0,1,0,0,2,0,0,0,1,1,1,0,1,2,0,1,1,0,0,1,0,0,0,1,1
2,1,0,1,0,0,2,2,2,2,1,1,1,0,1,2,1,2,1,0,0,1,0,0,0,0,4
7,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,1,3
10,1,0,1,0,1,2,0,1,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,1,7
13,1,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,1
15,1,0,1,0,0,2,1,1,1,0,0,0,2,1,2,0,0,1,0,0,1,0,0,0,1,3
16,1,0,1,1,0,2,0,1,0,1,2,1,0,2,2,0,2,1,0,0,1,0,0,0,1,0
20,1,1,0,0,1,2,0,2,2,1,2,2,0,1,2,0,2,1,0,0,1,0,0,0,1,5
21,1,0,1,0,1,2,0,2,0,0,0,0,1,2,2,1,2,1,0,0,1,0,0,0,1,5
27,1,1,0,0,1,2,0,2,2,1,2,1,2,1,2,1,2,0,0,0,0,0,1,0,2,7
29,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,1,0
31,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
32,1,0,1,0,1,0,0,1,0,0,0,0,2,1,2,0,0,1,0,0,1,0,0,0,1,0
40,1,0,0,0,1,1,1,2,1,1,0,0,0,2,2,2,1,1,1,0,0,0,0,0,2,6
41,1,0,1,0,0,1,0,1,0,1,2,2,2,1,2,0,0,1,0,0,1,0,0,0,1,7
42,1,0,0,0,0,2,0,1,0,0,2,1,1,1,1,0,1,1,0,0,1,0,0,0,1,5
43,1,0,1,0,0,1,0,1,2,1,2,1,2,2,2,0,2,1,1,0,0,0,0,0,1,2
45,1,1,1,0,0,2,0,1,2,1,2,1,2,2,2,1,0,1,0,0,1,0,0,0,1,7
46,1,0,1,0,1,2,0,1,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,2
52,1,0,1,0,0,1,0,0,1,0,0,0,2,1,1,0,2,1,0,0,1,0,0,0,1,5
54,1,0,1,0,0,2,0,1,1,1,2,1,1,2,2,0,2,1,0,0,1,0,0,0,0,1
56,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,2,5
57,1,1,0,0,1,2,0,1,1,1,0,0,1,1,1,1,2,0,0,0,0,0,1,0,2,2
60,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,1,0,0,0,0,0,1,0
62,1,1,1,1,0,0,0,1,1,1,0,0,2,1,2,0,2,1,0,0,1,0,0,0,2,5
64,1,0,1,0,0,0,0,1,0,1,1,1,0,1,2,1,0,1,0,0,1,0,0,0,1,3
65,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,1,0,0,1,0,0,0,1,1
67,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,1,0,0,1,0,0,0,1,0
70,1,1,0,1,0,0,0,1,1,0,0,0,0,2,2,2,2,1,0,0,1,0,0,0,1,0
73,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
75,1,0,1,0,1,2,0,1,0,1,1,2,2,1,2,0,0,1,0,0,1,0,0,0,1,6
76,1,0,0,0,0,2,2,2,2,2,2,1,0,1,1,1,2,0,0,0,0,0,0,1,0,7
79,1,0,0,0,0,1,0,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
80,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,1,0,1,0,0,1,0,0,0,1,3
81,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,1
83,1,0,1,1,0,2,0,2,2,2,2,1,2,2,2,2,0,1,0,0,1,0,0,0,2,7
85,1,0,0,1,0,0,0,1,1,2,2,2,2,2,2,2,2,1,0,0,1,0,0,0,1,4
86,1,0,1,1,1,2,1,1,0,1,1,0,2,1,2,0,2,1,0,0,1,0,0,0,2,0
87,1,1,1,1,1,2,0,1,1,1,1,1,0,2,2,1,1,1,0,0,1,0,0,0,1,4
91,1,0,1,1,0,1,0,1,0,0,0,0,2,2,1,0,2,1,0,0,1,0,0,0,1,0
92,1,0,1,1,0,1,0,0,0,1,0,0,2,2,2,0,2,0,0,1,0,0,0,0,2,6
93,1,0,1,0,0,1,0,1,0,0,1,0,1,1,2,1,2,1,0,0,1,0,0,0,1,3
94,1,0,1,1,0,2,0,1,2,2,2,2,1,2,2,1,1,0,0,1,0,0,0,0,2,7
95,1,0,1,0,1,2,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,3
97,1,1,0,0,0,2,0,0,1,1,1,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0
99,1,1,0,1,1,2,0,2,2,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,7
100,1,0,1,0,1,0,0,1,1,1,1,1,2,2,2,0,0,0,0,1,0,0,0,0,1,3
101,1,1,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,1,2
102,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,1,0
103,1,0,1,1,1,2,0,1,0,0,0,0,2,1,2,0,1,1,0,0,1,0,0,0,2,6
105,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,2,1,0,0,1,0,0,0,1,3
108,1,0,1,0,0,1,1,1,2,2,2,2,0,1,2,2,2,1,0,0,1,0,0,0,1,6
110,1,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,1,2
111,1,0,1,0,0,1,0,1,0,0,0,1,2,2,2,1,1,1,0,0,1,0,0,0,1,3
112,1,0,1,0,0,0,1,0,0,0,0,0,2,2,2,0,0,1,0,0,1,0,0,0,1,0
113,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,0,1,2
114,1,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,2,1,0,0,1,0,0,0,1,5
118,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,4
119,1,0,0,0,0,2,1,2,0,1,0,1,0,2,2,0,2,1,0,0,1,0,0,0,1,3
120,1,0,0,1,1,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,2,7
121,1,0,1,1,1,0,0,1,0,0,0,1,2,1,2,0,0,1,0,0,1,0,0,0,1,2
125,1,1,0,0,0,0,0,1,1,1,2,1,1,1,2,1,2,1,0,0,1,0,0,0,0,7
128,1,0,0,0,0,2,1,2,1,1,2,1,1,1,2,1,0,1,0,0,1,0,0,0,1,4
129,1,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,1,1
131,1,0,1,0,1,2,0,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,1,1,7
132,1,0,0,0,0,0,0,1,2,1,1,0,1,2,2,1,1,1,0,0,1,0,0,0,0,4
133,1,0,0,1,0,2,0,1,1,1,1,1,2,1,2,0,2,1,0,0,1,0,0,0,1,1
134,1,0,0,0,1,0,0,2,1,1,1,1,0,1,2,1,2,1,0,0,1,0,0,0,1,6
135,1,1,0,0,1,2,0,2,2,2,2,2,0,2,2,0,2,1,1,0,0,0,0,0,1,7
136,1,1,0,0,0,2,2,2,2,2,2,1,0,1,2,1,2,1,0,0,1,0,0,0,1,7
138,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,1,3
142,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,3
143,1,0,1,1,1,1,0,0,0,0,0,0,2,1,1,0,2,1,1,0,0,0,0,0,2,1
144,1,1,1,0,1,2,0,2,1,1,2,1,2,2,2,0,2,0,0,1,0,0,0,0,1,7
145,1,0,1,0,0,2,0,0,1,1,1,0,2,1,2,0,0,1,0,0,1,0,0,0,1,1
148,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
150,1,0,1,1,1,0,0,1,0,1,0,0,2,1,2,0,2,1,0,0,1,0,0,0,1,6
151,1,1,1,0,0,1,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
152,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,2,4
154,1,0,1,1,1,2,0,1,1,1,2,2,2,1,2,0,2,1,0,0,1,0,0,0,1,1
156,1,1,1,0,0,2,0,0,1,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,2
157,1,1,1,0,0,2,0,1,2,1,2,2,0,2,2,2,0,1,1,0,0,0,0,0,1,6
159,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,2,0
162,1,1,1,0,1,0,0,1,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,2
163,1,0,1,0,0,2,0,1,1,1,1,1,2,2,2,0,2,1,1,0,0,0,0,0,1,3
170,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,1
172,1,1,1,0,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1
175,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,2,1,0,0,1,0,0,0,1,1
179,1,1,1,0,1,2,1,2,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,2,7
183,1,0,1,0,1,2,0,1,0,0,2,1,2,1,0,0,0,1,1,0,0,0,0,0,1,5
185,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
186,1,1,1,0,0,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2
188,1,0,1,0,1,1,0,2,1,2,2,2,2,2,2,1,2,1,0,0,1,0,0,0,1,5
191,1,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
193,1,1,0,0,1,0,0,2,1,1,2,2,2,1,1,1,2,1,0,0,1,0,0,0,1,7
194,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,0,0,1,1
195,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,7
196,1,0,0,0,1,0,0,1,1,0,0,0,2,1,2,2,2,1,0,0,1,0,0,0,1,1
197,1,0,1,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,0,1,0,0,0,0,1,1
